"﻿question_id","db_id","question","SQL","evidence","Comment","difficulty","Annotation"
"2","california_schools","Please list the zip code of all the charter schools in Fresno County Office of Education.","SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1","Charter schools refers to `Charter School (Y/N)` = 1 in the table fprm","Join between frpm and schools is wrong. This query will return the zip code of all the Fresno County schools that are FRPM schools (Free or Reduced-Price Meal). Not all the schools. Query and question is misleading","simple","3"
"20","california_schools","How many schools in Amador which the Low Grade is 9 and the High Grade is 12?","SELECT COUNT(T1.`School Name`) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Amador' AND T1.`Low Grade` = 9 AND T1.`High Grade` = 12","","Same as previous. Join between frpm and schools is wrong. This query will return the zip code of all the Fresno County schools that are FRPM schools. Not all schools","simple","1, 3, 6"
"25","california_schools","Name schools in Riverside which the average of average math score for SAT is grater than 400, what is the funding type of these schools?","SELECT T1.sname, T2.`Charter Funding Type` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T2.`District Name` LIKE 'Riverside%' GROUP BY T1.sname, T2.`Charter Funding Type` HAVING CAST(SUM(T1.AvgScrMath) AS REAL) / COUNT(T1.cds) > 400","Average of average math = sum(average math scores) / count(schools).","Same as previous. Join between frpm and schools is wrong. This query will return the zip code of all the Fresno County schools that are FRPM schools. Not all schools","moderate","1, 2, 3"
"29","california_schools","When did the first-through-twelfth-grade school with the largest enrollment open?","SELECT T2.OpenDate FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`Enrollment (K-12)` DESC LIMIT 1","K-12 means First-through-twelfth-grade","Same as previous. Join between frpm and schools is wrong. This query will return the zip code of all the Fresno County schools that are FRPM schools. Not all schools","simple","3"
"22","california_schools","Which school in Contra Costa has the highest number of test takers?","SELECT sname FROM satscores WHERE cname = 'Contra Costa' AND sname IS NOT NULL ORDER BY NumTstTakr DESC LIMIT 1","","Some rows in the satscores table have schoolname NULL. Could have joined over the schools table in order to get the name for all schools. Therefore incorrect query. ","simple","3"
"74","california_schools","What is the lowest grade for the District Special Education Consortia School with National Center for Educational Statistics school district identification number of 613360?","SELECT MIN(T1.`Low Grade`) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.NCESDist = 613360 AND T2.EdOpsCode = 'SPECON'","District Special Education Consortia School refers to EdOpsCode = 'SPECON'.","Same as previous. Join between frpm and schools is wrong. This query will return the zip code of all the Fresno County schools that are FRPM schools. Not all schools","moderate","3, 6"
"26","california_schools","State the names and full communication address of high schools in Monterey which has more than 800 free or reduced price meals for ages 15-17?","SELECT T1.`School Name`, T2.Zip, T2.Street, T2.City, T2.State FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Monterey' AND T1.`Free Meal Count (Ages 5-17)` > 800 AND T1.`School Type` = 'High Schools (Public)'","Full communication address should include Zip, Street, City, State","","moderate",""
"40","california_schools","What is the telephone number for the school with the lowest average score in reading in Fresno Unified?","SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.District = 'Fresno Unified' AND T1.AvgScrRead IS NOT NULL ORDER BY T1.AvgScrRead ASC LIMIT 1","Fresno Unified is a name of district;","","moderate",""
"35","california_schools","What is the administrator's email address of the chartered school with the fewest students enrolled in grades 1 through 12?","SELECT T2.AdmEmail1 FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter School (Y/N)` = 1 ORDER BY T1.`Enrollment (K-12)` ASC LIMIT 1","Charted school means `Charter School (Y/N)` = 1 in the table frpm; Students enrolled in grades 1 through 12 refers to `Enrollment (K-12)`","Join between frpm and schools is wrong. This query will return the zip code of all the Fresno County schools that are FRPM schools. Not all schools","moderate","3,6"
"0","california_schools","What is the highest eligible free rate for K-12 students in the schools in Alameda County?","SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1","Eligible free rate for K-12 = `Free Meal Count (K-12)` / `Enrollment (K-12)`","","simple",""
